title,category,duration
Champions League,Sports,120
Premier League Highlights,Sports,60
Sports News,News,60
La Liga Review,Sports,60
Documentary,Entertainment,60
Morning News,News,60
Breakfast Sports Roundup,Sports,30
Sports Talk Live,Sports,60
NBA Highlights,Sports,60
Formula 1 Highlights,Sports,60
Tennis Best Of,Sports,90
Boxing Special,Sports,120
Athletics World Championships,Sports,120
Sports Analysis Tonight,Sports,60
Late Night Sports,Sports,60
Overnight Sports Rerun,Sports,120
Weekend Magazine,Entertainment,60
Sports Science,Documentary,60
Classic Match Replay,Sports,90
Post-Match Show,Sports,30
Sports Headlines,News,30
Midday Sports Update,News,30
